ORDERNUMBER,QUANTITY ORDERED,PRICE EACH,ORDERLINENUMBER,SALES,ORDERDATE,STATUS,QTR_ID,MONTH_ID,YEAR_ID,PRODUCTLINE,MSRP,PRODUCTCODE,CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY,TERRITORY,CONTACTLASTNAME,CONTACTFIRSTNAME,DEALSIZE
10107.00,30.00,95.70,2.00,2871.00,2/24/2003 0:00,Shipped,1.00,2.00,2003.00,Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Small
10121.00,34.00,81.35,5.00,2765.90,5/7/2003 0:00,Shipped,2.00,5.00,2003.00,Motorcycles,95.00,S10_1678,Reims Collectables,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France,EMEA,Henriot,Paul,Small
10134.00,41.00,94.74,2.00,3884.34,7/1/2003 0:00,Shipped,3.00,7.00,2003.00,Motorcycles,95.00,S10_1678,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145.00,45.00,83.26,6.00,3746.70,8/25/2003 0:00,Shipped,3.00,8.00,2003.00,Motorcycles,95.00,S10_1678,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159.00,49.00,100.00,14.00,5205.27,10/10/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,95.00,S10_1678,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168.00,36.00,96.66,1.00,3479.76,10/28/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,95.00,S10_1678,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180.00,29.00,86.13,9.00,2497.77,11/11/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,95.00,S10_1678,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Small
10188.00,48.00,100.00,1.00,5512.32,11/18/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,95.00,S10_1678,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201.00,22.00,98.57,2.00,2168.54,12/1/2003 0:00,Shipped,4.00,12.00,2003.00,Motorcycles,95.00,S10_1678,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Small
10211.00,41.00,100.00,14.00,4708.44,1/15/2004 0:00,Shipped,1.00,1.00,2004.00,Motorcycles,95.00,S10_1678,Auto Canal Petit,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France,EMEA,Perrier,Dominique,Medium
10223.00,37.00,100.00,1.00,3965.66,2/20/2004 0:00,Shipped,1.00,2.00,2004.00,Motorcycles,95.00,S10_1678,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10237.00,23.00,100.00,7.00,2333.12,4/5/2004 0:00,Shipped,2.00,4.00,2004.00,Motorcycles,95.00,S10_1678,Vitachrome Inc.,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,NA,Frick,Michael,Small
10251.00,28.00,100.00,2.00,3188.64,5/18/2004 0:00,Shipped,2.00,5.00,2004.00,Motorcycles,95.00,S10_1678,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263.00,34.00,100.00,2.00,3676.76,6/28/2004 0:00,Shipped,2.00,6.00,2004.00,Motorcycles,95.00,S10_1678,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275.00,45.00,92.83,1.00,4177.35,7/23/2004 0:00,Shipped,3.00,7.00,2004.00,Motorcycles,95.00,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Medium
10285.00,36.00,100.00,6.00,4099.68,8/27/2004 0:00,Shipped,3.00,8.00,2004.00,Motorcycles,95.00,S10_1678,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10299.00,23.00,100.00,9.00,2597.39,9/30/2004 0:00,Shipped,3.00,9.00,2004.00,Motorcycles,95.00,S10_1678,"Toys of Finland, Co.",90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland,EMEA,Karttunen,Matti,Small
10309.00,41.00,100.00,5.00,4394.38,10/15/2004 0:00,Shipped,4.00,10.00,2004.00,Motorcycles,95.00,S10_1678,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10318.00,46.00,94.74,1.00,4358.04,11/2/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,95.00,S10_1678,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
10329.00,42.00,100.00,1.00,4396.14,11/15/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,95.00,S10_1678,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10341.00,41.00,100.00,9.00,7737.93,11/24/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,95.00,S10_1678,Salzburg Collectables,6562-9555,Geislweg 14,,Salzburg,,5020,Austria,EMEA,Pipps,Georg,Large
10361.00,20.00,72.55,13.00,1451.00,12/17/2004 0:00,Shipped,4.00,12.00,2004.00,Motorcycles,95.00,S10_1678,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Small
10375.00,21.00,34.91,12.00,733.11,2/3/2005 0:00,Shipped,1.00,2.00,2005.00,Motorcycles,95.00,S10_1678,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10388.00,42.00,76.36,4.00,3207.12,3/3/2005 0:00,Shipped,1.00,3.00,2005.00,Motorcycles,95.00,S10_1678,FunGiftIdeas.com,5085552555,1785 First Street,,New Bedford,MA,50553,USA,NA,Benitez,Violeta,Medium
10403.00,24.00,100.00,7.00,2434.56,4/8/2005 0:00,Shipped,2.00,4.00,2005.00,Motorcycles,95.00,S10_1678,"UK Collectables, Ltd.",(171) 555-2282,Berkeley Gardens 12  Brewery,,Liverpool,,WX1 6LT,UK,EMEA,Devon,Elizabeth,Small
10417.00,66.00,100.00,2.00,7516.08,5/13/2005 0:00,Disputed,2.00,5.00,2005.00,Motorcycles,95.00,S10_1678,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10103.00,26.00,100.00,11.00,5404.62,1/29/2003 0:00,Shipped,1.00,1.00,2003.00,Classic Cars,214.00,S10_1949,Baane Mini Imports,07-98 9555,Erling Skakkes gate 78,,Stavern,,4110,Norway,EMEA,Bergulfsen,Jonas,Medium
10112.00,29.00,100.00,1.00,7209.11,3/24/2003 0:00,Shipped,1.00,3.00,2003.00,Classic Cars,214.00,S10_1949,"Volvo Model Replicas, Co",0921-12 3555,Berguvsv„gen  8,,Lule,,S-958 22,Sweden,EMEA,Berglund,Christina,Large
10126.00,38.00,100.00,11.00,7329.06,5/28/2003 0:00,Shipped,2.00,5.00,2003.00,Classic Cars,214.00,S10_1949,"Corrida Auto Replicas, Ltd",(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain,EMEA,Sommer,Mart¡n,Large
10140.00,37.00,100.00,11.00,7374.10,7/24/2003 0:00,Shipped,3.00,7.00,2003.00,Classic Cars,214.00,S10_1949,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Large
10150.00,45.00,100.00,8.00,10993.50,9/19/2003 0:00,Shipped,3.00,9.00,2003.00,Classic Cars,214.00,S10_1949,"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore,Japan,Natividad,Eric,Large
10163.00,21.00,100.00,1.00,4860.24,10/20/2003 0:00,Shipped,4.00,10.00,2003.00,Classic Cars,214.00,S10_1949,Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA,NA,Hernandez,Maria,Medium
10174.00,34.00,100.00,4.00,8014.82,11/6/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,214.00,S10_1949,"Australian Gift Network, Co",61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia,APAC,Calaghan,Tony,Large
10183.00,23.00,100.00,8.00,5372.57,11/13/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,214.00,S10_1949,"Classic Gift Ideas, Inc",2155554695,782 First Street,,Philadelphia,PA,71270,USA,NA,Cervantes,Francisca,Medium
10194.00,42.00,100.00,11.00,7290.36,11/25/2003 0:00,Shipped,4.00,11.00,2003.00,Classic Cars,214.00,S10_1949,"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France,EMEA,Saveley,Mary,Large
10206.00,47.00,100.00,6.00,9064.89,12/5/2003 0:00,Shipped,4.00,12.00,2003.00,Classic Cars,214.00,S10_1949,Canadian Gift Exchange Network,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada,NA,Tannamuri,Yoshi,Large
10215.00,35.00,100.00,3.00,6075.30,1/29/2004 0:00,Shipped,1.00,1.00,2004.00,Classic Cars,214.00,S10_1949,West Coast Collectables Co.,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA,NA,Thompson,Steve,Medium
10228.00,29.00,100.00,2.00,6463.23,3/10/2004 0:00,Shipped,1.00,3.00,2004.00,Classic Cars,214.00,S10_1949,Cambridge Collectables Co.,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA,NA,Tseng,Kyung,Medium
10245.00,34.00,100.00,9.00,6120.34,5/4/2004 0:00,Shipped,2.00,5.00,2004.00,Classic Cars,214.00,S10_1949,Super Scale Inc.,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA,NA,Murphy,Leslie,Medium
10258.00,32.00,100.00,6.00,7680.64,6/15/2004 0:00,Shipped,2.00,6.00,2004.00,Classic Cars,214.00,S10_1949,"Tokyo Collectables, Ltd",+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan,Japan,Shimamura,Akiko,Large
10270.00,21.00,100.00,9.00,4905.39,7/19/2004 0:00,Shipped,3.00,7.00,2004.00,Classic Cars,214.00,S10_1949,Souveniers And Things Co.,+61 2 9495 8555,"Monitor Money Building, 815 Pacific Hwy",Level 6,Chatswood,NSW,2067,Australia,APAC,Huxley,Adrian,Medium
10280.00,34.00,100.00,2.00,8014.82,8/17/2004 0:00,Shipped,3.00,8.00,2004.00,Classic Cars,214.00,S10_1949,Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy,EMEA,Accorti,Paolo,Large
10291.00,37.00,100.00,11.00,7136.19,9/8/2004 0:00,Shipped,3.00,9.00,2004.00,Classic Cars,214.00,S10_1949,Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden,EMEA,Larsson,Maria,Large
10304.00,47.00,100.00,6.00,10172.70,10/11/2004 0:00,Shipped,4.00,10.00,2004.00,Classic Cars,214.00,S10_1949,Auto Assoc. & Cie.,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France,EMEA,Tonini,Daniel,Large
10312.00,48.00,100.00,3.00,11623.70,10/21/2004 0:00,Shipped,4.00,10.00,2004.00,Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Large
10322.00,40.00,100.00,1.00,6000.40,11/4/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,214.00,S10_1949,Online Diecast Creations Co.,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA,NA,Young,Valarie,Medium
10333.00,26.00,100.00,3.00,3003.00,11/18/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,214.00,S10_1949,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10347.00,30.00,100.00,1.00,3944.70,11/29/2004 0:00,Shipped,4.00,11.00,2004.00,Classic Cars,214.00,S10_1949,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10357.00,32.00,100.00,10.00,5691.84,12/10/2004 0:00,Shipped,4.00,12.00,2004.00,Classic Cars,214.00,S10_1949,Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA,NA,Nelson,Valarie,Medium
10369.00,41.00,100.00,2.00,4514.92,1/20/2005 0:00,Shipped,1.00,1.00,2005.00,Classic Cars,214.00,S10_1949,Collectables For Less Inc.,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA,NA,Nelson,Allen,Medium
10381.00,36.00,100.00,3.00,8254.80,2/17/2005 0:00,Shipped,1.00,2.00,2005.00,Classic Cars,214.00,S10_1949,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Large
10391.00,24.00,100.00,4.00,2416.56,3/9/2005 0:00,Shipped,1.00,3.00,2005.00,Classic Cars,214.00,S10_1949,"Anna's Decorations, Ltd",02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia,APAC,O'Hara,Anna,Small
10411.00,23.00,100.00,9.00,4140.23,5/1/2005 0:00,Shipped,2.00,5.00,2005.00,Classic Cars,214.00,S10_1949,Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada,NA,Fresnisre,Jean,Medium
10424.00,50.00,100.00,6.00,12001.00,5/31/2005 0:00,In Process,2.00,5.00,2005.00,Classic Cars,214.00,S10_1949,Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain,EMEA,Freyre,Diego,Large
10107.00,39.00,99.91,5.00,3896.49,2/24/2003 0:00,Shipped,1.00,2.00,2003.00,Motorcycles,118.00,S10_2016,Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA,NA,Yu,Kwai,Medium
10120.00,29.00,96.34,3.00,2793.86,4/29/2003 0:00,Shipped,2.00,4.00,2003.00,Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Small
10134.00,27.00,100.00,5.00,3307.77,7/1/2003 0:00,Shipped,3.00,7.00,2003.00,Motorcycles,118.00,S10_2016,Lyon Souveniers,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France,EMEA,Da Cunha,Daniel,Medium
10145.00,37.00,100.00,9.00,5192.95,8/25/2003 0:00,Shipped,3.00,8.00,2003.00,Motorcycles,118.00,S10_2016,Toys4GrownUps.com,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA,NA,Young,Julie,Medium
10159.00,37.00,100.00,17.00,5016.83,10/10/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,118.00,S10_2016,Corporate Gift Ideas Co.,6505551386,7734 Strong St.,,San Francisco,CA,,USA,NA,Brown,Julie,Medium
10168.00,27.00,100.00,4.00,3660.93,10/28/2003 0:00,Shipped,4.00,10.00,2003.00,Motorcycles,118.00,S10_2016,Technics Stores Inc.,6505556809,9408 Furth Circle,,Burlingame,CA,94217,USA,NA,Hirano,Juri,Medium
10180.00,42.00,100.00,12.00,4695.60,11/11/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,118.00,S10_2016,Daedalus Designs Imports,20.16.1555,"184, chausse de Tournai",,Lille,,59000,France,EMEA,Rance,Martine,Medium
10188.00,38.00,96.34,4.00,3660.92,11/18/2003 0:00,Shipped,4.00,11.00,2003.00,Motorcycles,118.00,S10_2016,Herkku Gifts,+47 2267 3215,"Drammen 121, PR 744 Sentrum",,Bergen,,N 5804,Norway,EMEA,Oeztan,Veysel,Medium
10201.00,24.00,100.00,5.00,3025.92,12/1/2003 0:00,Shipped,4.00,12.00,2003.00,Motorcycles,118.00,S10_2016,Mini Wheels Co.,6505555787,5557 North Pendale Street,,San Francisco,CA,,USA,NA,Murphy,Julie,Medium
10210.00,23.00,100.00,2.00,3009.09,1/12/2004 0:00,Shipped,1.00,1.00,2004.00,Motorcycles,118.00,S10_2016,Osaka Souveniers Co.,+81 06 6342 5555,"Dojima Avanza 4F, 1-6-20 Dojima, Kita-ku",,Osaka,Osaka,530-0003,Japan,Japan,Kentary,Mory,Medium
10223.00,47.00,100.00,4.00,5422.39,2/20/2004 0:00,Shipped,1.00,2.00,2004.00,Motorcycles,118.00,S10_2016,"Australian Collectors, Co.",03 9520 4555,636 St Kilda Road,Level 3,Melbourne,Victoria,3004,Australia,APAC,Ferguson,Peter,Medium
10236.00,22.00,100.00,1.00,2852.08,4/3/2004 0:00,Shipped,2.00,4.00,2004.00,Motorcycles,118.00,S10_2016,Motor Mint Distributors Inc.,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA,NA,Hernandez,Rosa,Small
10251.00,44.00,100.00,5.00,5756.52,5/18/2004 0:00,Shipped,2.00,5.00,2004.00,Motorcycles,118.00,S10_2016,Tekni Collectables Inc.,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA,NA,Brown,William,Medium
10263.00,40.00,100.00,5.00,4472.00,6/28/2004 0:00,Shipped,2.00,6.00,2004.00,Motorcycles,118.00,S10_2016,Gift Depot Inc.,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA,NA,King,Julie,Medium
10275.00,22.00,100.00,4.00,2904.44,7/23/2004 0:00,Shipped,3.00,7.00,2004.00,Motorcycles,118.00,S10_2016,La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France,EMEA,Labrune,Janine,Small
10285.00,47.00,100.00,9.00,6484.59,8/27/2004 0:00,Shipped,3.00,8.00,2004.00,Motorcycles,118.00,S10_2016,Marta's Replicas Co.,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA,NA,Hernandez,Marta,Medium
10298.00,39.00,96.34,1.00,3757.26,9/27/2004 0:00,Shipped,3.00,9.00,2004.00,Motorcycles,118.00,S10_2016,Atelier graphique,40.32.2555,"54, rue Royale",,Nantes,,44000,France,EMEA,Schmitt,Carine,Medium
10308.00,34.00,100.00,2.00,4043.96,10/15/2004 0:00,Shipped,4.00,10.00,2004.00,Motorcycles,118.00,S10_2016,Mini Classics,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA,NA,Frick,Steve,Medium
10318.00,45.00,100.00,4.00,5566.50,11/2/2004 0:00,Shipped,4.00,11.00,2004.00,Motorcycles,118.00,S10_2016,Diecast Classics Inc.,2155551555,7586 Pompton St.,,Allentown,PA,70267,USA,NA,Yu,Kyung,Medium
